
GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2015-2-9,10,5,0,4,1,-2,93,83,66,1035,1033,1032,10,8,5,19,10,,0.00,4,,305<br />
2015-2-10,7,3,0,3,2,0,100,81,70,1034,1032,1029,10,9,4,13,3,,0.00,7,,98<br />
2015-2-11,5,4,4,2,1,0,81,76,70,1028,1024,1022,10,9,8,11,8,,0.00,8,,127<br />
2015-2-12,4,3,2,1,-1,-1,87,77,70,1022,1020,1016,10,9,7,13,3,,0.00,8,,175<br />
2015-2-13,8,4,2,6,4,0,87,82,76,1013,1003,998,10,9,5,35,23,52,0.00,5,Rain,161<br />
2015-2-14,8,7,6,6,5,4,93,89,81,1008,1003,998,10,10,7,21,16,,0.00,5,Rain,88<br />
2015-2-15,10,5,0,6,3,-1,93,88,71,1017,1014,1008,9,5,0,11,6,,0.00,4,Fog,46<br />
2015-2-16,9,6,3,6,4,2,93,86,71,1022,1016,1014,10,6,0,23,13,,0.00,5,Fog-Rain,176<br />
2015-2-17,8,4,0,2,-1,-2,87,72,50,1041,1036,1025,10,10,9,16,13,,0.00,1,Rain,295<br />
2015-2-18,10,5,0,3,1,-3,87,74,58,1041,1036,1030,10,10,10,27,14,,0.00,2,,216<br />
2015-2-19,8,6,3,5,3,0,93,82,71,1030,1021,1013,10,10,9,34,21,,0.00,6,Rain,208<br />
2015-2-20,7,4,3,5,3,0,93,83,76,1011,1004,999,10,10,10,14,10,,0.00,4,Rain,289<br />
2015-2-21,7,3,1,1,0,-3,87,78,61,1006,1001,998,10,10,10,21,13,,0.00,3,Rain,277<br />
2015-2-22,9,3,-1,7,1,-3,93,80,66,1009,1002,989,10,10,7,45,21,58,0.00,5,Rain,219<br />
2015-2-23,9,6,3,7,1,-3,87,68,46,992,991,989,10,10,10,37,27,53,0.00,3,,231<br />
2015-2-24,9,7,4,1,0,-4,81,62,46,1013,1005,992,10,10,10,34,26,52,0.00,3,,260<br />
2015-2-25,11,8,5,6,4,1,93,78,62,1017,1015,1012,10,9,6,19,13,,0.00,4,Rain,232<br />
2015-2-26,11,7,3,9,5,-3,94,81,65,1016,1012,1008,10,9,5,35,19,,0.00,6,Rain,252<br />
2015-2-27,9,4,0,1,-1,-3,87,68,43,1020,1019,1016,10,10,10,21,13,,0.00,1,,257<br />
2015-2-28,10,7,5,8,5,2,93,84,76,1017,1007,996,10,9,5,37,24,,0.00,6,Rain,199<br />
2015-3-1,11,7,4,8,2,-1,87,65,44,1001,999,996,10,10,6,47,32,64,0.00,2,Rain,244<br />
2015-3-2,8,4,2,1,-3,-8,87,58,32,1015,1008,1001,10,10,10,42,24,61,0.00,1,,255<br />
2015-3-3,9,6,3,3,-1,-4,87,65,40,1020,1015,1012,10,10,10,37,23,,0.00,2,Rain,249<br />
2015-3-4,11,6,2,0,-1,-2,87,63,41,1037,1029,1020,10,10,10,32,21,,0.00,2,,285<br />
2015-3-5,11,6,0,2,0,-3,87,64,50,1039,1038,1037,10,10,10,23,11,,0.00,4,,262<br />
2015-3-6,12,8,4,4,2,0,81,64,54,1037,1033,1029,10,10,10,32,18,,0.00,4,,226<br />
2015-3-7,16,11,7,4,3,2,81,63,39,1028,1024,1022,,,,34,26,,0.00,,,212<br />
2015-3-8,15,9,4,7,5,2,93,74,59,1028,1023,1021,10,10,9,32,16,,0.00,3,,251<br />
2015-3-9,10,4,-1,8,4,-2,93,83,76,1028,1024,1022,10,10,10,27,13,,0.00,5,,207<br />
2015-3-10,12,6,1,8,2,-1,93,70,44,1032,1030,1024,10,10,10,19,10,,0.00,1,,348<br />
2015-3-11,12,6,-1,4,2,-2,93,71,44,1031,1029,1027,10,8,7,24,10,,0.00,3,,144<br />
2015-3-12,12,7,2,4,1,-5,93,65,30,1029,1025,1022,10,10,10,24,10,,0.00,5,,116<br />
2015-3-13,11,7,4,4,2,-1,87,73,58,1028,1024,1022,10,8,5,26,14,,0.00,2,,74<br />
2015-3-14,8,6,3,3,1,-2,87,72,57,1030,1029,1028,10,10,6,29,18,,0.00,4,Rain,28<br />
2015-3-15,7,6,5,4,3,3,87,84,81,1029,1027,1025,8,7,4,24,18,,0.00,6,Rain,44<br />
2015-3-16,8,7,5,5,3,2,93,83,71,1024,1023,1022,8,6,4,19,11,,0.00,5,Rain,65<br />
2015-3-17,12,8,4,7,4,2,93,84,67,1028,1025,1023,6,3,1,19,8,,0.00,4,Rain,22<br />
2015-3-18,9,6,3,4,3,1,93,80,66,1033,1031,1028,9,6,0,19,13,,0.00,6,Fog-Rain,359<br />
2015-3-19,8,7,5,4,3,2,87,80,76,1033,1032,1030,8,6,4,21,16,,0.00,7,,5<br />
2015-3-20,9,6,3,4,3,1,87,82,71,1030,1026,1022,8,6,4,16,10,,0.00,6,,344<br />
2015-3-21,8,6,4,4,2,0,87,74,66,1028,1025,1021,10,10,8,29,19,40,0.00,5,Rain,352<br />
2015-3-22,7,4,3,2,0,-1,81,71,61,1028,1025,1021,10,10,10,21,13,,0.00,6,,59<br />
2015-3-23,12,6,-1,4,1,-3,93,66,47,1020,1015,1011,10,10,8,19,11,,0.00,3,,255<br />
2015-3-24,9,6,2,4,2,0,93,78,58,1010,1009,1008,10,10,9,21,8,,0.00,3,Rain,305<br />
2015-3-25,10,6,1,3,0,-2,93,71,43,1011,1010,1009,10,10,8,19,10,,0.00,2,,308<br />
2015-3-26,13,8,3,8,2,-1,87,70,47,1013,1005,1000,10,10,10,35,23,48,0.00,4,Rain,253<br />
2015-3-27,12,8,4,3,0,-2,81,60,38,1021,1019,1014,10,10,10,24,16,,0.00,1,,255<br />
2015-3-28,14,10,6,10,7,4,94,79,66,1019,1010,1005,10,9,6,40,24,55,0.00,5,Rain,220<br />
2015-3-29,14,11,8,10,6,1,94,72,54,1005,998,991,10,9,5,50,31,76,0.00,4,Rain,252<br />
2015-3-30,12,8,6,9,1,-6,88,60,30,1011,1006,997,10,10,10,40,23,55,0.00,3,Rain,257<br />
2015-3-31,14,9,5,9,2,-3,82,56,33,1017,1006,994,10,10,10,52,42,82,0.00,3,Rain,278<br />
2015-4-1,11,7,4,5,-1,-3,87,56,41,1023,1021,1017,10,10,10,39,29,53,0.00,2,Rain,270<br />
2015-4-2,11,8,6,7,2,-3,93,70,38,1023,1020,1012,10,9,6,34,18,,0.00,3,,329<br />
2015-4-3,12,8,5,9,6,3,93,87,72,1022,1016,1014,10,6,1,16,13,,0.00,7,Fog-Rain,112<br />
2015-4-4,9,7,5,7,4,2,93,82,66,1026,1022,1017,10,9,4,24,13,,0.00,4,Rain,32<br />
2015-4-5,10,7,3,4,3,0,87,75,62,1029,1027,1025,10,10,10,14,5,,0.00,2,,91<br />
2015-4-6,13,7,1,8,3,-1,93,78,66,1036,1032,1029,10,10,7,23,10,,0.00,5,,22<br />
2015-4-7,15,7,-1,7,4,-2,93,76,55,1038,1036,1034,10,8,0,14,5,,0.00,3,Fog,214<br />
2015-4-8,14,9,4,8,6,3,93,80,58,1034,1033,1031,10,7,0,24,8,,0.00,2,Fog,93<br />
2015-4-9,13,8,4,8,6,2,93,87,72,1031,1027,1024,9,4,0,14,6,,0.00,6,Fog,82<br />
2015-4-10,16,8,1,11,6,0,94,75,52,1023,1017,1013,9,4,0,16,8,,0.00,5,Fog,108<br />
2015-4-11,14,10,5,8,2,-5,87,56,29,1026,1018,1012,10,10,5,34,21,,0.00,2,Rain,251<br />
2015-4-12,17,10,3,7,3,-2,87,61,36,1028,1025,1022,10,10,10,42,21,47,0.00,3,Rain,230<br />
2015-4-13,15,9,3,8,5,1,87,73,59,1032,1030,1028,10,10,10,14,8,,0.00,3,,179<br />
2015-4-14,23,14,5,10,6,3,87,61,29,1028,1024,1021,,,,29,14,,0.00,,,235<br />
2015-4-15,25,17,8,9,6,2,87,55,22,1021,1017,1014,10,10,10,29,13,,0.00,1,,249<br />
2015-4-16,13,9,6,7,5,2,93,74,54,1017,1016,1014,10,9,6,27,14,,0.00,1,Rain,59<br />
2015-4-17,12,9,7,5,4,3,81,69,54,1026,1021,1016,10,10,10,32,21,,0.00,1,,60<br />
2015-4-18,13,8,4,6,3,1,87,73,50,1029,1028,1027,10,10,10,29,19,,0.00,2,,50<br />
2015-4-19,12,7,3,4,2,0,87,70,54,1027,1024,1022,10,10,10,14,10,,0.00,4,,17<br />
2015-4-20,15,8,2,7,3,0,93,69,48,1032,1030,1026,9,8,7,26,13,,0.00,,,37<br />
2015-4-21,15,9,3,6,4,1,87,70,51,1035,1034,1032,,,,27,13,,0.00,,,38<br />
2015-4-22,12,8,5,8,6,3,93,78,54,1033,1030,1025,10,9,1,29,16,,0.00,4,Fog,58<br />
2015-4-23,12,8,3,6,4,1,87,75,62,1025,1020,1016,10,10,10,14,11,,0.00,6,,75<br />
2015-4-24,19,10,1,9,6,0,93,66,43,1015,1010,1008,10,9,5,29,13,,0.00,1,Fog,223<br />
2015-4-25,18,14,11,10,8,6,88,72,45,1008,1005,1004,10,10,7,32,21,,0.00,4,Rain,221<br />
2015-4-26,11,7,3,10,6,2,94,88,81,1009,1007,1005,10,7,3,16,11,,0.00,6,Rain,26<br />
2015-4-27,11,7,3,5,2,0,93,70,50,1012,1011,1009,10,10,10,19,11,,0.00,2,,52<br />
2015-4-28,13,8,4,2,-2,-7,81,51,25,1018,1016,1012,10,10,10,29,19,,0.00,1,,253<br />
2015-4-29,12,8,5,7,4,2,87,74,62,1017,1013,1011,10,10,9,40,23,53,0.00,2,Rain,214<br />
2015-4-30,15,9,4,4,2,-1,87,62,36,1012,1011,1009,10,10,10,29,16,58,0.00,3,,268<br />
2015-5-1,11,7,4,3,2,1,87,69,50,1012,1010,1010,10,10,9,27,14,,0.00,2,,52<br />
2015-5-2,12,7,3,8,4,1,87,76,62,1012,1009,1004,10,10,10,27,14,,0.00,4,,75<br />
2015-5-3,19,14,10,13,10,3,94,78,37,1003,998,995,10,9,3,42,23,61,0.00,5,Rain,192<br />
2015-5-4,18,14,11,10,8,5,88,70,45,1005,1002,993,10,10,6,40,23,,0.00,2,Rain,182<br />
2015-5-5,16,13,11,13,8,4,94,68,45,1003,995,988,10,9,3,58,31,76,0.00,4,Rain,210<br />
2015-5-6,14,12,10,9,7,5,82,71,55,1011,1004,1002,10,10,8,53,39,74,0.00,5,Rain,220<br />
2015-5-7,17,13,10,8,6,3,76,62,48,1016,1015,1011,10,10,10,29,19,,0.00,2,,228<br />
2015-5-8,16,12,8,11,7,3,88,75,45,1016,1013,1010,10,9,4,23,10,,0.00,4,Rain,136<br />
2015-5-9,18,14,8,10,7,2,88,62,34,1023,1015,1010,10,10,10,39,26,,0.00,3,Rain,252<br />
2015-5-10,18,11,5,10,8,3,93,70,52,1025,1023,1020,10,9,3,27,13,,0.00,3,,205<br />
2015-5-11,22,16,10,12,11,8,87,68,49,1020,1017,1017,10,10,10,29,14,,0.00,1,,214<br />
2015-5-12,18,14,9,8,4,-1,87,54,34,1022,1018,1016,10,10,10,32,18,,0.00,2,Rain,257<br />
2015-5-13,17,11,6,7,4,1,87,63,42,1022,1019,1017,10,10,10,26,10,,0.00,1,,101<br />
2015-5-14,11,8,6,8,6,4,93,84,71,1017,1012,1010,10,8,6,32,16,,0.00,6,Rain,65<br />
2015-5-15,15,11,8,8,6,4,93,69,48,1023,1021,1014,10,10,6,21,14,,0.00,5,Rain,330<br />
2015-5-16,18,14,9,11,7,3,82,63,39,1027,1023,1020,10,10,10,24,18,,0.00,4,Rain,283<br />
2015-5-17,17,11,6,7,4,2,76,55,39,1027,1024,1017,10,10,10,26,14,,0.00,2,,264<br />
2015-5-18,16,12,9,11,6,0,88,66,41,1017,1005,1001,10,10,10,48,24,66,0.00,4,Rain,231<br />
2015-5-19,15,10,6,6,3,2,87,67,44,1009,1004,1002,10,10,6,35,23,42,0.00,2,Rain-Thunderstorm,245<br />
2015-5-20,15,10,6,7,4,3,81,68,48,1023,1016,1009,10,10,10,27,16,,0.00,2,Rain,290<br />
2015-5-21,20,12,5,9,5,2,81,58,32,1026,1025,1023,10,10,10,26,11,,0.00,2,,246<br />
2015-5-22,20,14,9,12,9,5,82,65,46,1026,1024,1022,10,10,10,19,10,,0.00,3,,245<br />
2015-5-23,16,12,7,12,8,5,88,74,58,1025,1024,1023,10,10,6,24,13,,0.00,5,,49<br />
2015-5-24,20,12,5,13,9,4,93,73,46,1023,1019,1017,10,10,10,21,8,,0.00,3,Rain,257<br />
2015-5-25,15,12,9,8,6,4,82,65,55,1020,1019,1018,10,10,10,19,11,,0.00,5,,318<br />
2015-5-26,19,13,8,9,7,6,87,64,48,1025,1023,1020,10,10,10,16,10,,0.00,2,,312<br />
2015-5-27,20,13,6,9,6,3,87,60,35,1026,1021,1015,10,10,10,34,14,,0.00,2,,264<br />
2015-5-28,18,14,11,8,3,1,77,49,34,1014,1013,1013,10,10,10,26,19,39,0.00,2,,268<br />
2015-5-29,14,11,8,9,5,2,82,67,51,1013,1008,1004,10,10,8,42,18,,0.00,3,Rain,247<br />
2015-5-30,17,11,6,6,4,1,81,58,36,1014,1013,1010,10,10,10,26,16,,0.00,2,,244<br />
2015-5-31,16,12,9,13,8,0,88,74,50,1013,1007,1004,10,10,7,39,23,,0.00,6,Rain,233<br />
2015-6-1,16,11,6,7,4,2,81,63,45,1015,1013,1006,10,10,10,39,21,53,0.00,2,Rain,218<br />
2015-6-2,18,14,12,13,11,8,88,75,59,1012,1005,1001,10,10,10,52,39,66,0.00,6,Rain,221<br />
2015-6-3,19,14,9,9,6,3,87,57,35,1026,1021,1013,10,10,10,24,16,,0.00,2,,269<br />
2015-6-4,19,12,6,10,8,4,88,67,49,1027,1024,1019,,,,26,11,,0.00,,,94<br />
2015-6-5,27,18,10,17,12,4,94,64,41,1019,1015,1013,10,9,4,29,10,,0.00,1,Rain-Thunderstorm,225<br />
2015-6-6,19,14,10,6,4,2,76,48,32,1028,1024,1019,10,10,10,34,21,,0.00,1,,257<br />
2015-6-7,21,14,8,8,6,1,82,59,31,1033,1031,1029,10,10,10,24,10,,0.00,2,,339<br />
2015-6-8,17,12,7,8,6,4,87,69,48,1033,1033,1032,10,10,10,29,11,,0.00,2,Rain,37<br />
2015-6-9,15,10,6,6,4,3,87,62,48,1033,1032,1031,10,10,10,27,19,,0.00,3,,33<br />
2015-6-10,16,12,9,9,7,5,76,66,55,1031,1028,1025,10,10,10,32,19,,0.00,3,,44<br />
2015-6-11,19,14,9,11,10,7,94,69,56,1024,1019,1014,,,,32,16,,0.00,,,55<br />
2015-6-12,22,16,11,14,12,9,94,75,60,1013,1009,1006,10,7,5,19,10,,0.00,1,Thunderstorm,46<br />
2015-6-13,21,17,14,14,13,12,94,80,60,1011,1008,1005,10,9,4,27,14,,0.00,6,,257<br />
2015-6-14,18,14,11,13,11,9,88,78,67,1016,1013,1011,10,9,8,19,10,,0.00,6,,306<br />
2015-6-15,16,12,8,8,7,5,82,65,51,1025,1023,1019,10,10,10,23,16,,0.00,2,,62<br />
2015-6-16,20,13,6,10,8,4,93,66,49,1026,1025,1024,10,10,10,21,8,,0.00,1,,154<br />
2015-6-17,25,19,13,15,12,8,82,63,53,1025,1021,1019,10,10,10,29,18,,0.00,3,,254<br />
2015-6-18,20,17,13,14,8,6,82,58,43,1021,1020,1019,10,10,10,21,14,,0.00,2,Rain,315<br />
2015-6-19,19,14,10,10,7,6,76,60,45,1022,1021,1020,10,10,10,23,13,,0.00,4,,309<br />
2015-6-20,18,14,11,15,11,8,94,76,52,1022,1020,1018,10,9,1,21,10,,0.00,4,Rain,251<br />
2015-6-21,20,17,14,15,9,6,94,63,40,1017,1015,1014,10,10,10,27,14,,0.00,4,,273<br />
2015-6-22,18,14,11,10,8,5,88,72,42,1013,1009,1007,10,10,10,26,18,,0.00,2,Rain,277<br />
2015-6-23,19,14,11,9,8,7,88,67,49,1020,1017,1013,10,10,10,21,14,,0.00,5,,335<br />
2015-6-24,23,16,9,10,9,7,94,63,40,1021,1020,1019,10,10,10,27,13,,0.00,2,,224<br />
2015-6-25,24,18,12,12,10,8,82,57,38,1022,1021,1019,10,10,10,21,13,,0.00,1,,218<br />
2015-6-26,26,19,13,14,11,8,77,59,36,1019,1016,1014,,,,34,14,,0.00,,,214<br />
2015-6-27,23,18,14,13,9,7,77,54,36,1021,1019,1015,10,10,10,16,13,,0.00,1,,278<br />
2015-6-28,21,18,15,14,12,9,82,66,46,1020,1019,1018,10,10,10,24,13,,0.00,1,Rain,220<br />
2015-6-29,25,19,13,13,10,7,82,55,32,1022,1021,1020,10,10,10,23,11,,0.00,1,,222<br />
2015-6-30,24,17,11,14,12,8,88,63,41,1021,1019,1017,,,,26,10,,0.00,,,93<br />
2015-7-1,30,23,17,18,16,13,82,59,45,1015,1012,1010,,,,21,13,,0.00,,,99<br />
2015-7-2,25,21,17,17,15,13,78,68,54,1023,1018,1013,10,10,10,24,13,,0.00,1,Rain,232<br />
2015-7-3,22,17,12,15,13,10,88,71,52,1026,1023,1017,10,10,10,27,13,,0.00,1,,56<br />
2015-7-4,28,22,16,19,14,9,94,64,42,1020,1017,1014,10,9,5,32,16,,0.00,1,Rain-Thunderstorm,240<br />
2015-7-5,22,18,15,14,12,10,88,69,49,1020,1017,1015,10,10,7,32,10,,0.00,2,Rain,238<br />
2015-7-6,23,17,12,12,9,7,88,56,36,1020,1018,1015,10,10,10,27,16,,0.00,2,,217<br />
2015-7-7,24,18,13,16,11,5,83,61,38,1014,1008,1006,10,10,7,37,16,,0.00,2,Rain,232<br />
2015-7-8,20,16,11,13,10,8,88,68,52,1018,1011,1007,10,10,3,29,21,40,0.00,4,Rain,272<br />
2015-7-9,21,16,10,12,7,3,82,57,31,1023,1022,1018,10,10,10,21,13,,0.00,2,,254<br />
2015-7-10,25,18,12,12,9,4,88,56,27,1023,1020,1016,,,,23,16,,0.00,,,164<br />
2015-7-11,26,20,14,13,11,7,88,54,30,1018,1015,1013,10,10,10,26,11,,0.00,1,,275<br />
2015-7-12,23,19,15,15,13,11,82,71,57,1017,1016,1015,10,10,10,37,21,52,0.00,3,Rain,232<br />
2015-7-13,21,18,16,16,15,14,88,81,64,1016,1014,1013,10,9,5,35,19,,0.00,4,Rain,232<br />
2015-7-14,22,19,17,16,14,13,88,75,57,1018,1016,1014,10,9,4,21,16,,0.00,6,Rain,256<br />
2015-7-15,24,20,17,17,15,12,94,73,50,1019,1017,1017,10,10,7,16,13,,0.00,5,Rain,272<br />
2015-7-16,21,19,17,14,11,9,82,63,46,1019,1016,1009,10,10,10,27,19,,0.00,5,,80<br />
2015-7-17,24,19,15,15,12,8,88,61,41,1015,1011,1008,10,10,10,39,21,55,0.00,3,,230<br />
2015-7-18,23,17,12,11,7,3,82,52,27,1017,1016,1013,10,10,10,24,14,,0.00,1,,240<br />
2015-7-19,25,19,14,12,8,-1,82,50,22,1013,1010,1009,10,10,10,32,16,48,0.00,3,Rain,246<br />
2015-7-20,24,17,11,17,15,8,88,79,65,1011,1010,1009,10,10,8,34,13,,0.00,5,Rain,197<br />
2015-7-21,25,19,14,12,11,9,77,56,38,1013,1012,1010,10,10,10,32,21,,0.00,2,,226<br />
2015-7-22,23,19,14,12,11,8,82,59,41,1016,1014,1013,10,10,10,34,16,,0.00,1,,247<br />
2015-7-23,22,16,10,10,8,6,87,57,35,1018,1016,1015,10,10,10,21,10,,0.00,1,,264<br />
2015-7-24,18,14,12,14,11,8,94,79,67,1015,1009,1003,10,9,5,19,8,,0.00,4,Rain,27<br />
2015-7-25,20,16,11,11,8,4,88,62,37,1016,1012,1002,10,10,6,29,21,48,0.00,3,Rain,304<br />
2015-7-26,17,14,12,14,11,8,88,80,68,1014,1005,996,10,9,4,32,19,47,0.00,6,Rain,189<br />
2015-7-27,21,18,15,13,11,8,82,64,46,1003,999,996,10,10,10,35,27,55,0.00,4,Rain,248<br />
2015-7-28,20,17,13,10,8,5,82,58,37,1008,1005,1003,10,10,9,34,26,47,0.00,4,Rain,259<br />
2015-7-29,19,14,11,8,7,5,82,58,40,1014,1010,1008,10,10,10,24,16,,0.00,1,,279<br />
2015-7-30,18,14,9,9,8,5,87,64,45,1020,1017,1014,10,10,10,21,13,37,0.00,1,Rain,323<br />
2015-7-31,20,13,6,11,8,5,93,64,46,1020,1018,1016,10,10,10,23,6,,0.00,1,,138<br />
2015-8-1,23,16,9,10,7,3,87,55,27,1018,1016,1015,10,10,10,23,11,,0.00,1,,248<br />
2015-8-2,24,17,11,12,11,6,88,64,31,1019,1016,1012,10,10,10,19,10,,0.00,1,,153<br />
2015-8-3,25,20,16,16,13,11,82,65,50,1012,1011,1009,10,10,10,34,19,,0.00,4,,216<br />
2015-8-4,21,17,14,13,9,7,82,59,40,1016,1013,1010,10,10,10,37,23,,0.00,2,Rain,230<br />
2015-8-5,22,18,13,13,11,9,88,63,43,1016,1013,1011,10,10,10,23,13,,0.00,2,Rain-Thunderstorm,181<br />
2015-8-6,24,18,13,15,12,11,94,68,50,1016,1013,1010,10,10,10,29,13,,0.00,4,,216<br />
2015-8-7,23,17,12,15,12,9,94,69,50,1021,1017,1015,10,10,10,21,8,,0.00,2,,42<br />
2015-8-8,23,17,11,15,11,9,94,66,41,1024,1023,1021,10,8,2,24,10,,0.00,3,Fog,90<br />
2015-8-9,27,18,9,14,9,6,88,53,29,1023,1020,1017,,,,26,8,,0.00,,,220<br />
2015-8-10,26,21,16,16,14,13,83,69,50,1018,1016,1015,10,10,10,32,18,,0.00,3,,226<br />
2015-8-11,21,18,15,15,12,9,83,68,49,1022,1020,1017,10,10,10,14,8,,0.00,2,Rain,8<br />
2015-8-12,21,18,15,14,13,11,88,73,53,1024,1023,1021,10,10,10,27,13,,0.00,2,Rain,39<br />
2015-8-13,22,19,16,17,16,13,94,83,69,1021,1014,1008,10,9,3,35,16,42,0.00,5,Rain-Thunderstorm,45<br />
2015-8-14,23,19,16,18,16,14,94,79,60,1007,1005,1004,10,7,1,29,11,,0.00,6,Fog-Rain,235<br />
2015-8-15,21,16,12,14,9,6,88,63,40,1016,1011,1007,10,9,7,21,13,,0.00,4,,305<br />
2015-8-16,20,15,10,12,9,6,88,68,45,1018,1017,1016,10,10,10,14,6,,0.00,2,,65<br />
